month,credit_amount,credit_term,age,sex,education,product_type,having_children_flg,region,income,family_status,phone_operator,is_client,bad_client_target
1,26500,3,40,female,Secondary special education,Household appliances,1,2,51000,Another,0,1,0
1,35000,12,28,male,Higher education,Cell phones,1,1,34000,Another,1,1,0
1,8500,6,28,male,Secondary special education,Cell phones,0,2,19000,Unmarried,3,0,1
1,21000,18,28,male,Higher education,Furniture,1,2,21000,Another,0,1,0
1,6500,3,66,male,Secondary special education,Household appliances,1,2,19000,Another,2,1,0
1,27000,6,28,male,Secondary special education,Cell phones,0,0,31000,Married,0,1,0
1,8000,12,25,female,Secondary education,Household appliances,0,2,11000,Married,3,1,1
1,43000,18,27,male,Secondary special education,Household appliances,1,2,19000,Another,0,0,0
1,7000,6,37,male,Secondary special education,Household appliances,1,2,16000,Another,0,0,0
1,15500,10,25,female,Secondary education,Household appliances,0,2,19000,Another,1,1,1
1,15000,6,33,female,Secondary special education,Furniture,1,2,14000,Another,2,0,0
1,84500,18,40,male,Secondary special education,Tourism,1,2,61000,Married,1,0,0
1,22000,9,19,male,Incomplete higher education,Cell phones,0,0,21000,Another,1,1,0
1,24000,6,49,male,Higher education,Clothing,0,2,31000,Married,3,1,0
1,9000,6,49,female,Secondary education,Cell phones,0,2,31000,Another,0,1,0
1,35000,12,42,male,Higher education,Furniture,1,2,11000,Married,0,1,0
1,8000,6,24,female,Secondary special education,Cell phones,0,2,16000,Married,1,1,0
1,15500,12,21,female,Secondary special education,Cell phones,0,2,51000,Another,0,0,0
1,23500,10,69,male,Higher education,Medical services,0,1,16000,Another,0,1,0
1,36000,18,32,male,Higher education,Clothing,0,2,36000,Another,0,1,1
1,34500,12,43,female,Secondary special education,Cell phones,1,2,81000,Unmarried,1,1,0
1,5000,10,39,female,Secondary special education,Household appliances,1,2,31000,Married,1,0,0
1,9500,4,27,female,Secondary special education,Cell phones,0,2,31000,Married,1,0,0
1,29000,12,29,female,Higher education,Household appliances,0,2,46000,Another,1,1,0
1,17000,12,39,male,Secondary special education,Cell phones,0,2,21000,Married,2,1,0
1,50000,18,23,female,Secondary special education,Household appliances,0,2,21000,Another,0,1,1
1,11500,4,37,female,Secondary education,Household appliances,1,2,20000,Another,2,1,0
1,34500,15,39,male,Higher education,Household appliances,1,2,46000,Married,0,0,0
1,12000,10,26,male,Higher education,Household appliances,0,2,26000,Married,1,0,0
1,10500,10,49,female,Secondary special education,Household appliances,0,0,16000,Another,1,1,0
1,25000,6,42,female,Secondary special education,Audio & Video,0,0,31000,Another,1,0,0
1,31000,12,34,female,Higher education,Computers,0,0,71000,Another,2,1,0
1,20500,12,26,female,Secondary special education,Household appliances,0,2,26000,Another,2,1,0
1,6000,3,31,male,Secondary special education,Computers,0,2,26000,Another,1,0,0
1,9000,6,31,male,Secondary special education,Cell phones,1,2,36000,Married,0,1,0
1,43000,6,22,male,Incomplete higher education,Clothing,0,0,31000,Another,3,1,0
1,8000,12,31,male,Secondary special education,Cell phones,0,2,20000,Another,1,1,0
1,14000,6,24,female,Incomplete higher education,Computers,0,0,36000,Another,3,1,0
1,22500,18,42,male,Secondary special education,Furniture,0,2,13000,Another,1,1,0
1,17500,6,35,female,Higher education,Cell phones,0,2,39000,Another,2,1,0
1,17500,12,20,male,Secondary special education,Cell phones,0,2,16000,Another,0,1,0
1,29500,12,35,female,Secondary education,Cell phones,0,2,26000,Another,0,1,0
1,50000,18,20,male,Secondary special education,Jewelry,0,2,21000,Another,0,1,1
1,31500,18,22,male,Secondary education,Household appliances,1,2,26000,Married,1,1,0
1,37000,15,32,male,Higher education,Furniture,1,2,36000,Another,0,1,1
1,17000,12,25,male,Secondary special education,Fitness,0,2,26000,Another,0,1,0
1,11000,6,47,female,Secondary special education,Jewelry,1,2,31000,Another,1,1,1
1,19500,24,23,male,Higher education,Household appliances,0,2,28000,Another,2,1,0
1,41000,15,40,male,Higher education,Tourism,1,2,26000,Married,0,1,0
1,11000,6,19,male,Secondary special education,Household appliances,0,2,21000,Another,0,1,0
1,31000,12,28,male,Secondary special education,Household appliances,0,2,21000,Another,1,1,1
1,28000,12,23,male,Higher education,Cell phones,0,0,30000,Another,1,1,0
1,20500,12,37,female,Secondary special education,Household appliances,1,0,21000,Another,0,1,0
1,79000,15,23,male,Secondary special education,Tourism,0,2,46000,Married,2,1,0
1,25000,6,31,female,Secondary special education,Computers,1,2,41000,Married,0,0,0
1,116000,18,33,female,Higher education,Clothing,1,2,36000,Married,3,1,0
1,18500,6,32,female,Secondary special education,Household appliances,1,2,31000,Another,1,1,0
1,41000,18,46,male,Secondary special education,Cosmetics and beauty services,0,0,41000,Another,3,1,0
1,10000,24,23,male,Incomplete higher education,Computers,0,2,21000,Married,1,0,1
1,8000,3,53,male,Higher education,Computers,0,2,19000,Another,3,1,0
1,26500,18,24,male,Secondary education,Cell phones,0,2,26000,Another,1,1,0
1,36000,10,35,male,Higher education,Furniture,1,2,31000,Married,1,0,0
1,29000,18,29,female,Secondary special education,Household appliances,0,2,31000,Another,0,1,1
1,21000,18,34,male,Higher education,Cell phones,0,2,26000,Married,1,0,0
1,31000,12,25,male,Higher education,Cell phones,0,0,36000,Married,3,1,0
1,14500,9,20,male,Incomplete higher education,Household appliances,0,2,16000,Married,0,1,0
1,20000,12,29,female,Secondary education,Cell phones,1,2,21000,Another,0,1,1
1,13500,12,64,male,Higher education,Windows & Doors,0,2,26000,Another,1,1,0
1,6500,6,34,female,Secondary special education,Cell phones,0,2,26000,Married,0,0,1
1,26000,12,26,female,Secondary special education,Computers,0,2,16000,Married,2,1,0
1,8000,6,27,male,Secondary education,Cell phones,0,1,21000,Married,0,1,0
1,48000,24,54,female,Higher education,Household appliances,1,0,26000,Another,1,0,0
1,30500,24,27,female,Secondary special education,Household appliances,0,2,26000,Another,2,0,0
1,31500,6,39,male,Secondary special education,Cell phones,0,0,42000,Married,1,1,0
1,29500,18,21,male,Secondary special education,Cell phones,0,2,23000,Another,1,0,1
1,53500,18,47,male,Higher education,Medical services,0,0,21000,Another,1,1,0
1,37000,10,64,male,Higher education,Clothing,0,0,51000,Another,1,1,0
1,43000,15,25,male,Secondary special education,Tourism,0,2,29000,Another,2,1,0
1,18000,12,22,male,Secondary education,Cell phones,1,2,19000,Another,0,1,1
1,30000,12,26,female,Secondary special education,Cell phones,0,2,41000,Another,2,0,0
1,26500,14,23,male,Higher education,Household appliances,0,2,29000,Another,1,0,1
1,35500,12,30,male,Higher education,Cell phones,0,0,51000,Another,2,1,0
1,17500,10,36,female,Secondary special education,Cell phones,1,2,31000,Another,0,0,1
1,10500,10,22,female,Secondary special education,Computers,0,2,21000,Another,2,1,0
2,16000,6,21,female,Secondary special education,Cell phones,0,2,21000,Married,1,0,0
2,8500,6,53,female,Secondary special education,Cell phones,0,2,36000,Married,2,0,0
2,14500,4,29,male,Secondary special education,Computers,1,2,9000,Married,1,0,0
2,31000,10,64,male,Secondary special education,Cell phones,0,2,10000,Another,1,1,0
2,13500,6,64,male,Secondary special education,Construction Materials,1,2,13000,Another,1,1,0
2,15000,12,32,male,Secondary special education,Household appliances,1,2,21000,Another,3,1,0
2,9500,6,31,female,Secondary education,Cell phones,1,2,14000,Another,0,1,0
2,35500,12,23,female,Higher education,Fitness,0,0,41000,Another,1,1,0
2,11000,6,40,male,Higher education,Furniture,1,2,26000,Another,1,1,0
2,34000,12,36,male,Higher education,Cell phones,1,2,24000,Another,1,1,1
2,11000,3,29,female,Secondary special education,Furniture,0,1,31000,Another,1,1,0
2,20500,5,29,male,Secondary special education,Household appliances,0,2,26000,Another,1,0,0
2,9000,5,76,male,Secondary special education,Household appliances,0,2,19000,Another,0,1,0
2,20000,15,27,male,Higher education,Cell phones,0,2,31000,Another,1,1,0
2,57000,24,23,male,Higher education,Household appliances,0,2,46000,Married,2,1,0
2,38000,18,22,male,Secondary special education,Furniture,1,2,16000,Another,3,1,0
2,10000,12,24,male,Higher education,Cell phones,0,2,24000,Another,1,0,0
2,34000,6,41,female,Secondary special education,Cell phones,1,2,26000,Married,1,1,1
2,22000,10,24,female,Secondary special education,Cell phones,0,2,24000,Another,1,0,0
2,11000,6,48,female,Secondary education,Household appliances,1,2,46000,Another,1,1,0
2,32500,6,47,male,Higher education,Windows & Doors,1,0,51000,Another,3,1,0
2,18000,6,25,female,Higher education,Household appliances,1,0,61000,Another,0,0,0
2,11000,6,29,female,Secondary special education,Computers,0,2,24000,Another,1,1,0
2,32500,24,63,male,Secondary special education,Household appliances,0,2,13000,Another,2,1,0
2,43500,12,56,male,Higher education,Cosmetics and beauty services,0,0,16000,Another,1,1,0
2,19500,15,42,female,Higher education,Cell phones,1,2,21000,Another,2,1,0
2,53500,36,48,male,Secondary education,Windows & Doors,1,2,20000,Another,2,1,0
2,165000,12,48,female,Secondary special education,Furniture,0,2,51000,Another,3,1,0
2,33000,12,35,male,Secondary education,Cell phones,1,2,26000,Married,1,0,1
2,12500,6,53,male,Secondary education,Household appliances,1,2,13000,Another,3,1,0
2,14000,6,59,male,Secondary special education,Furniture,1,2,12000,Another,1,1,0
2,20000,12,21,male,Secondary education,Furniture,0,2,15000,Married,3,1,0
2,6500,6,31,male,Secondary special education,Cell phones,1,2,26000,Another,1,1,1
2,12500,18,32,female,Secondary education,Cell phones,1,2,11000,Married,1,0,0
2,22500,18,40,male,Secondary special education,Household appliances,0,2,25000,Married,0,1,0
2,13500,6,24,female,Higher education,Construction Materials,0,2,21000,Another,0,1,0
2,25500,10,20,male,Incomplete higher education,Cell phones,0,2,23000,Unmarried,1,1,0
2,18500,6,29,male,Secondary special education,Furniture,1,2,27000,Another,1,0,0
2,46500,12,54,male,Higher education,Windows & Doors,0,0,71000,Another,0,1,0
2,22500,12,33,male,Secondary special education,Cell phones,1,2,7000,Another,1,1,0
2,54000,3,45,male,Higher education,Household appliances,0,2,101000,Married,3,1,0
2,14000,12,42,female,Secondary special education,Cell phones,1,2,21000,Another,3,0,0
2,30000,6,42,male,Secondary education,Computers,0,2,31000,Another,1,1,0
2,35000,8,36,male,Secondary special education,Household appliances,0,2,61000,Another,2,1,0
2,76000,15,26,female,Higher education,Tourism,1,2,61000,Another,0,0,0
2,24500,12,23,male,Higher education,Cell phones,0,1,27000,Another,1,1,0
2,25000,6,45,male,Secondary special education,Household appliances,1,0,36000,Another,1,0,0
2,37500,12,22,female,Secondary special education,Household appliances,0,0,26000,Another,0,0,0
2,21000,12,24,female,Secondary special education,Cell phones,0,2,24000,Another,0,1,1
2,31500,12,26,female,Secondary education,Cell phones,0,2,31000,Another,2,1,1
2,38500,12,33,female,Higher education,Furniture,0,2,79000,Married,0,1,0
2,31000,16,56,male,Secondary special education,Cell phones,1,2,33000,Another,0,1,0
2,5000,6,32,male,Secondary special education,Household appliances,1,2,26000,Another,1,0,0
2,190500,6,31,female,Secondary special education,Boats,0,2,171000,Another,1,0,0
2,7500,6,32,male,Secondary education,Windows & Doors,1,2,13000,Another,0,1,0
2,22500,12,21,male,Secondary special education,Computers,1,2,26000,Another,0,1,0
2,21000,12,26,female,Secondary education,Cell phones,0,2,21000,Another,2,1,1
2,21000,8,49,male,Higher education,Household appliances,0,2,41000,Another,3,1,0
2,52500,15,64,male,Higher education,Clothing,0,0,43000,Another,3,1,0
2,27500,12,26,female,Secondary education,Household appliances,0,2,29000,Another,0,1,0
2,41000,5,20,female,Incomplete higher education,Auto,0,1,61000,Married,1,1,0
2,7000,12,53,male,Secondary education,Computers,0,2,18000,Another,0,0,0
2,8000,18,23,female,Secondary special education,Cell phones,0,2,14000,Married,1,1,1
2,10000,12,39,male,Higher education,Household appliances,1,2,21000,Married,0,1,0
2,12000,6,44,male,Secondary special education,Furniture,0,2,29000,Another,1,1,0
2,29000,11,25,male,Higher education,Fitness,0,0,56000,Married,1,1,0
2,15000,4,20,male,Secondary education,Cell phones,0,2,10000,Another,3,0,0
2,15000,6,28,male,Higher education,Household appliances,0,2,26000,Married,1,0,0
2,21500,6,52,male,Secondary special education,Cell phones,1,2,10000,Another,1,0,0
2,20000,6,40,female,Secondary special education,Cell phones,1,2,36000,Another,3,1,0
2,14500,12,33,female,Secondary special education,Household appliances,1,2,26000,Another,0,0,0
2,10500,12,32,male,Secondary special education,Cell phones,0,2,31000,Married,0,1,0
2,32000,10,57,male,Higher education,Household appliances,1,0,15000,Another,2,1,0
2,15500,4,58,female,Secondary education,Cell phones,0,0,26000,Married,0,1,0
2,30500,18,28,male,Higher education,Furniture,1,2,21000,Married,2,1,0
2,45000,18,48,male,Secondary education,Furniture,1,1,29000,Another,1,0,0
2,69000,15,64,female,Higher education,Tourism,0,2,26000,Another,1,0,0
2,16500,12,35,male,Higher education,Computers,1,2,22000,Married,0,0,0
2,14500,4,62,male,Secondary special education,Windows & Doors,1,2,16000,Another,0,1,0
2,37000,10,33,male,Higher education,Clothing,1,0,101000,Another,1,0,0
2,10000,6,23,female,Incomplete higher education,Household appliances,1,2,19000,Another,0,0,0
2,37500,12,43,male,Secondary education,Household appliances,0,2,16000,Another,0,0,0
2,10000,12,25,male,Secondary special education,Clothing,0,2,36000,Another,1,1,0
2,12500,6,32,male,Higher education,Jewelry,1,2,23000,Another,2,0,0
2,22500,12,26,female,Secondary special education,Cell phones,0,2,22000,Another,0,1,1
2,144500,15,46,female,Higher education,Construction Materials,0,2,81000,Another,1,0,0
2,5500,6,55,female,Secondary special education,Cell phones,1,2,31000,Unmarried,1,0,0
2,19500,10,50,male,Higher education,Cell phones,1,2,21000,Another,2,1,0
2,16000,10,67,male,Higher education,Cosmetics and beauty services,0,2,35000,Married,1,0,0
2,15500,6,35,male,Higher education,Furniture,1,2,26000,Married,2,1,0
2,21000,6,20,male,Secondary special education,Household appliances,0,2,30000,Another,1,1,0
2,21000,24,27,male,Secondary special education,Household appliances,1,2,16000,Another,1,0,0
2,199000,36,52,male,Higher education,Cosmetics and beauty services,0,2,61000,Another,1,1,0
2,36000,24,41,male,Secondary special education,Clothing,1,2,21000,Another,1,0,0
2,6500,3,41,male,Secondary special education,Household appliances,1,2,11000,Married,1,1,0
2,37500,12,57,male,Higher education,Furniture,1,2,13000,Another,0,1,0
2,48000,36,34,male,Secondary special education,Furniture,1,2,18000,Unmarried,0,1,1
2,29000,12,32,female,Secondary special education,Household appliances,0,2,31000,Married,1,1,0
2,6500,10,38,male,Higher education,Cell phones,1,2,16000,Another,1,0,0
2,87000,10,40,male,Secondary special education,Furniture,1,2,26000,Another,3,1,0
2,29500,18,27,female,Higher education,Household appliances,0,2,16000,Another,1,1,0
2,22500,10,42,female,Higher education,Garden equipment,1,2,21000,Married,2,1,0
2,27500,8,29,male,Incomplete higher education,Jewelry,1,2,36000,Married,2,0,0
2,14000,12,40,female,Higher education,Household appliances,1,2,51000,Another,2,0,0
2,60000,6,27,female,Higher education,Medical services,0,2,36000,Married,1,0,0
2,8000,10,29,male,Secondary special education,Cell phones,1,2,31000,Married,1,0,0
2,32500,24,42,male,Higher education,Household appliances,1,2,23000,Married,1,0,0
2,11000,6,64,male,Incomplete higher education,Furniture,1,2,20000,Married,1,1,0
2,23500,10,41,male,Secondary special education,Household appliances,1,2,46000,Another,1,0,0
2,29000,12,31,male,Secondary education,Cell phones,0,1,31000,Married,1,0,0
2,11000,6,60,female,Secondary special education,Windows & Doors,1,2,21000,Another,0,0,0
2,13000,6,25,male,Secondary special education,Household appliances,0,0,31000,Another,3,0,0
2,33500,12,26,male,Higher education,Household appliances,0,2,41000,Married,0,0,0
2,6500,4,31,female,Secondary special education,Cell phones,1,2,21000,Another,3,0,0
2,8000,6,29,female,Higher education,Household appliances,0,0,31000,Another,1,0,0
2,40500,18,39,male,Secondary education,Cosmetics and beauty services,1,0,41000,Another,0,1,0
2,14500,10,22,male,Secondary special education,Computers,0,2,26000,Another,1,0,0
2,9000,3,27,male,Higher education,Household appliances,1,2,26000,Another,1,0,0
2,10500,12,42,female,Secondary special education,Computers,1,2,24000,Another,0,1,0
2,29500,6,47,male,Secondary special education,Household appliances,0,2,26000,Another,1,0,0
2,28000,12,21,female,Secondary special education,Cell phones,0,2,71000,Another,0,1,0
2,28000,12,43,female,Incomplete higher education,Computers,1,2,16000,Married,1,1,0
2,23500,12,49,female,Secondary special education,Cell phones,1,0,65000,Married,0,0,0
2,12500,15,52,female,Higher education,Cell phones,1,2,18000,Another,0,1,0
2,148000,18,35,female,Secondary special education,Furniture,1,2,31000,Another,3,0,0
2,20000,3,39,male,Higher education,Medical services,1,2,26000,Married,0,1,0
2,40000,12,24,female,Secondary special education,Cell phones,0,2,41000,Another,1,1,0
2,22000,12,50,female,Secondary special education,Medical services,1,1,37000,Another,2,1,0
2,21000,12,31,male,Higher education,Cell phones,0,2,16000,Another,0,1,0
2,12500,6,60,male,Secondary education,Computers,1,2,21000,Another,1,0,0
2,35500,10,57,female,Secondary special education,Furniture,1,2,21000,Unmarried,1,1,0
2,164000,12,57,male,Higher education,Clothing,1,2,81000,Another,0,1,0
2,22000,24,32,female,Higher education,Household appliances,1,2,23000,Another,1,0,0
2,28000,12,24,female,Secondary education,Cell phones,0,2,51000,Unmarried,0,0,0
2,22000,12,49,female,Secondary special education,Computers,1,2,41000,Another,0,1,0
3,20000,12,22,female,Incomplete higher education,Cell phones,0,2,21000,Another,1,1,0
3,7000,6,33,female,Secondary education,Cell phones,0,0,46000,Another,2,1,0
3,16000,12,36,male,Secondary special education,Cell phones,0,0,31000,Another,1,0,0
2,12500,4,32,male,Secondary education,Computers,1,2,19000,Married,2,1,0
2,18000,12,33,female,Higher education,Household appliances,0,1,36000,Another,0,1,0
2,16000,12,32,male,Secondary special education,Medical services,1,2,31000,Married,3,0,0
3,23000,10,31,female,Secondary special education,Household appliances,0,2,29000,Another,2,0,0
3,44000,12,36,male,Secondary special education,Cosmetics and beauty services,0,2,26000,Married,0,1,1
3,14500,12,23,female,Secondary special education,Cell phones,0,2,21000,Another,0,1,0
3,16000,6,21,female,Secondary education,Cell phones,0,2,36000,Married,0,0,0
3,17500,12,34,female,Secondary special education,Cell phones,1,2,28000,Another,2,1,0
3,19000,10,29,male,Higher education,Clothing,1,1,31000,Another,3,0,0
3,133000,12,57,female,Secondary education,Furniture,1,2,51000,Another,0,1,0
3,24500,12,29,female,Higher education,Household appliances,0,2,31000,Another,1,0,0
3,27500,12,28,female,Higher education,Cell phones,0,2,41000,Another,0,1,0
3,19500,12,20,female,Incomplete higher education,Computers,0,2,31000,Another,2,1,0
3,29000,17,31,female,Secondary special education,Household appliances,0,1,51000,Another,0,1,0
3,22000,12,21,male,Secondary special education,Furniture,0,2,20000,Another,1,1,1
3,17000,18,53,female,Secondary special education,Household appliances,1,2,16000,Another,0,1,0
3,30000,12,36,male,Secondary special education,Cell phones,1,0,46000,Married,1,1,0
3,27000,6,42,male,Secondary special education,Furniture,1,2,16000,Another,1,1,0
3,31000,6,32,female,Secondary special education,Cell phones,0,2,31000,Another,0,1,1
3,11500,12,39,female,Secondary special education,Computers,0,2,21000,Unmarried,1,1,0
3,25000,18,40,female,Secondary special education,Household appliances,1,2,46000,Another,0,0,0
3,17500,10,21,male,Incomplete higher education,Computers,0,2,21000,Another,2,0,0
3,22000,6,40,female,Secondary special education,Cell phones,1,2,20000,Another,1,1,0
3,9500,9,22,female,Secondary special education,Computers,0,2,19000,Married,1,1,1
3,13000,10,45,female,Secondary education,Cell phones,1,2,26000,Married,2,0,0
3,6000,3,25,male,Secondary special education,Jewelry,1,2,23000,Married,3,1,0
3,7000,12,23,female,Secondary special education,Cell phones,1,2,16000,Unmarried,0,1,0
3,25000,10,23,female,Secondary special education,Household appliances,1,2,46000,Married,1,0,0
3,24500,12,37,female,Higher education,Household appliances,1,2,61000,Another,2,0,0
3,8500,6,40,male,Secondary special education,Jewelry,1,2,26000,Another,3,0,0
3,19500,12,23,female,Secondary special education,Household appliances,0,2,18000,Married,0,1,0
3,10500,24,22,male,Secondary special education,Household appliances,1,2,26000,Married,0,1,0
3,30000,24,22,female,Secondary special education,Household appliances,0,2,13000,Another,2,1,0
3,25000,12,42,female,Secondary special education,Cell phones,0,0,21000,Another,1,0,1
3,11000,18,23,female,Secondary special education,Jewelry,0,2,24000,Unmarried,2,1,0
3,24000,12,27,female,Higher education,Cell phones,0,2,27000,Another,3,0,0
3,7500,8,22,female,Secondary special education,Cell phones,0,2,19000,Another,1,1,0
3,31000,12,22,female,Incomplete higher education,Cell phones,0,2,31000,Another,2,1,0
3,25000,12,25,male,Incomplete higher education,Cell phones,1,1,36000,Married,1,0,0
3,34000,12,31,female,Secondary special education,Household appliances,0,1,31000,Unmarried,1,1,0
3,14000,8,33,female,Secondary special education,Cell phones,0,2,26000,Another,2,1,1
3,12000,12,30,female,Secondary special education,Cell phones,1,2,41000,Another,0,0,0
3,15000,12,26,male,Higher education,Computers,1,2,21000,Married,0,0,0
3,20500,6,30,female,Secondary special education,Household appliances,0,2,41000,Another,2,0,0
3,7500,12,24,female,Secondary special education,Cell phones,0,2,21000,Another,2,1,0
3,15500,12,28,male,Higher education,Household appliances,0,2,26000,Married,1,0,0
3,11000,6,27,female,Higher education,Household appliances,0,0,46000,Unmarried,1,0,0
3,34000,12,19,female,Secondary education,Household appliances,0,2,16000,Married,0,1,1
3,18500,6,27,female,Incomplete higher education,Clothing,1,2,81000,Another,2,0,0
3,97000,24,35,male,Higher education,Household appliances,1,2,29000,Another,1,1,0
3,5500,4,41,male,Secondary special education,Construction Materials,0,2,19000,Another,0,0,0
3,10500,6,31,female,Higher education,Cell phones,1,2,51000,Another,1,1,0
3,20000,6,31,male,Secondary special education,Household appliances,0,2,26000,Another,0,0,0
3,18000,8,26,female,Secondary special education,Furniture,0,2,26000,Another,0,1,0
3,19000,6,34,male,Secondary special education,Computers,1,2,27000,Another,1,0,0
3,20500,10,43,male,Secondary special education,Computers,1,2,21000,Another,3,1,0
3,25500,24,29,male,Secondary education,Jewelry,0,2,16000,Married,1,1,1
3,23000,10,23,female,Secondary special education,Cell phones,0,2,51000,Married,1,1,0
3,11000,12,29,male,Secondary education,Cell phones,1,2,11000,Another,1,1,1
3,40000,10,22,male,Secondary special education,Computers,0,2,61000,Another,1,0,0
3,38500,24,21,female,Higher education,Computers,0,2,26000,Married,0,1,0
3,16500,8,65,male,Secondary special education,Household appliances,1,2,16000,Another,1,1,0
3,27000,24,27,male,Higher education,Computers,0,0,41000,Another,0,0,0
3,15000,12,20,female,Secondary education,Cell phones,0,2,21000,Another,0,1,1
3,26500,12,21,male,Secondary special education,Cell phones,0,2,21000,Married,0,0,0
3,5500,4,33,female,Higher education,Cell phones,1,2,26000,Another,1,0,0
3,14000,6,45,female,Secondary special education,Cell phones,1,0,46000,Another,1,1,1
3,6000,3,28,female,Higher education,Household appliances,1,2,36000,Married,2,1,0
3,13000,15,30,male,Secondary special education,Cell phones,1,2,16000,Another,4,0,0
3,71000,18,25,female,Secondary special education,Clothing,0,2,26000,Another,0,1,0
3,54000,18,55,male,Higher education,Clothing,1,0,12000,Another,1,0,0
3,27500,12,27,female,Higher education,Cell phones,0,2,20000,Married,0,1,0
3,22500,6,33,male,Higher education,Training,1,2,31000,Married,1,0,0
3,6500,6,57,male,Secondary special education,Cell phones,1,2,10000,Another,1,0,1
3,15000,6,46,female,Secondary special education,Cell phones,1,2,31000,Another,1,0,0
3,14500,10,23,female,Secondary special education,Cell phones,0,2,16000,Another,3,1,0
